drug_name,api_name,api_cascade_count,api_cascade_drugs,api_cascade_on_concession,api_cascade_conc_drugs,api_concentration_risk,api_primary_source,api_manufacturer_count,api_india_china_pct,api_india_dependency,api_us_shortage_count,api_us_shortage_active
Alendronic acid 70mg tablets,alendronic acid,1,Alendronic acid 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Cimetidine 400mg tablets,cimetidine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Pioglitazone 15mg tablets,pioglitazone,2,Pioglitazone 45mg tablets|Pioglitazone 30mg tablets,1,Pioglitazone 30mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Metronidazole 400mg tablets,metronidazole,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Prochlorperazine 3mg buccal tablets,prochlorperazine,1,Prochlorperazine 5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Telmisartan 40mg tablets,telmisartan,2,Telmisartan 80mg tablets|Telmisartan 20mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Oxazepam 15mg tablets,oxazepam,1,Oxazepam 10mg tablets,1,Oxazepam 10mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Tibolone 2.5mg tablets,tibolone,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Senna 7.5mg tablets,senna,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Temazepam 20mg tablets,temazepam,1,Temazepam 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Citalopram 20mg tablets,citalopram,6,Escitalopram 5mg tablets|Citalopram 10mg tablets|Citalopram 40mg tablets|Citalopram 40mg/ml oral drops sugar free|Escitalopram 10mg tablets,1,Citalopram 10mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Flucloxacillin 250mg/5ml oral solution sugar free,flucloxacillin,5,Flucloxacillin 125mg/5ml oral solution|Flucloxacillin 125mg/5ml oral solution sugar free|Flucloxacillin 250mg capsules|Flucloxacillin 250mg/5ml oral solution|Flucloxacillin 500mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Famotidine 20mg tablets,famotidine,1,Famotidine 40mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops,dorzolamide,3,Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops 0.2ml unit dose preservative free|Dorzolamide 20mg/ml eye drops|Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops 0.2ml unit dose preservative free,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Oxazepam 10mg tablets,oxazepam,1,Oxazepam 15mg tablets,1,Oxazepam 15mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Carbimazole 5mg tablets,carbimazole,1,Carbimazole 20mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Nicorandil 20mg tablets,nicorandil,1,Nicorandil 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Naproxen 250mg gastro-resistant tablets,naproxen,3,Naproxen 500mg gastro-resistant tablets|Naproxen 500mg tablets|Naproxen 250mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Sotalol 40mg tablets,sotalol,1,Sotalol 80mg tablets,1,Sotalol 80mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Cinacalcet 30mg tablets,cinacalcet,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Naproxen 500mg gastro-resistant tablets,naproxen,3,Naproxen 250mg gastro-resistant tablets|Naproxen 500mg tablets|Naproxen 250mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Amoxicillin 250mg/5ml oral suspension,amoxicillin,12,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free|Amoxicillin 125mg/5ml oral suspension|Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free|Co-amoxiclav 250mg/125mg tablets|Amoxicillin 500mg capsules,0,,HIGH,China,4,85,1,0,0
Aqueous cream,aqueous,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Sotalol 80mg tablets,sotalol,1,Sotalol 40mg tablets,1,Sotalol 40mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Domperidone 10mg tablets,domperidone,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Haloperidol 1.5mg tablets,haloperidol,1,Haloperidol 5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Telmisartan 80mg tablets,telmisartan,2,Telmisartan 40mg tablets|Telmisartan 20mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Ipratropium bromide 500micrograms/2ml nebuliser liquid unit dose vials,ipratropium,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Quetiapine 100mg tablets,quetiapine,4,Quetiapine 150mg tablets|Quetiapine 200mg tablets|Quetiapine 300mg tablets|Quetiapine 25mg tablets,0,,MEDIUM,India,5,75,1,0,0
Quetiapine 150mg tablets,quetiapine,4,Quetiapine 100mg tablets|Quetiapine 200mg tablets|Quetiapine 300mg tablets|Quetiapine 25mg tablets,0,,MEDIUM,India,5,75,1,0,0
Propranolol 160mg modified-release capsules,propranolol,3,Propranolol 40mg tablets|Propranolol 80mg tablets|Propranolol 10mg tablets,2,Propranolol 40mg tablets|Propranolol 80mg tablets,HIGH,India,3,80,1,0,0
Losartan 100mg / Hydrochlorothiazide 25mg tablets,losartan,5,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets|Losartan 50mg tablets|Losartan 100mg tablets|Losartan 25mg tablets|Losartan 12.5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Domperidone 10mg tablets,domperidone,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Losartan 50mg / Hydrochlorothiazide 12.5mg tablets,losartan,5,Losartan 100mg / Hydrochlorothiazide 25mg tablets|Losartan 50mg tablets|Losartan 100mg tablets|Losartan 25mg tablets|Losartan 12.5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Isotretinoin 20mg capsules,isotretinoin,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Lamotrigine 200mg tablets,lamotrigine,6,Lamotrigine 5mg dispersible tablets sugar free|Lamotrigine 25mg dispersible tablets sugar free|Lamotrigine 100mg dispersible tablets sugar free|Lamotrigine 25mg tablets|Lamotrigine 50mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Frovatriptan 2.5mg tablets,frovatriptan,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Warfarin 3mg tablets,warfarin,3,Warfarin 1mg tablets|Warfarin 5mg tablets|Warfarin 500microgram tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Desloratadine 5mg tablets,loratadine,2,Loratadine 5mg/5ml oral solution|Loratadine 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Paracetamol 250mg/5ml oral suspension sugar free,paracetamol,21,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets,3,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Anastrozole 1mg tablets,anastrozole,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Benzoyl peroxide 5% / Clindamycin 1% gel,benzoyl,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Nicorandil 10mg tablets,nicorandil,1,Nicorandil 20mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Warfarin 1mg tablets,warfarin,3,Warfarin 3mg tablets|Warfarin 5mg tablets|Warfarin 500microgram tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Norethisterone 5mg tablets,norethisterone,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops,bimatoprost,3,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free|Bimatoprost 100micrograms/ml eye drops|Bimatoprost 300micrograms/ml eye drops 0.4ml unit dose preservative free,1,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free,UNKNOWN,Unknown,-1,-1,-1,0,0
Warfarin 5mg tablets,warfarin,3,Warfarin 3mg tablets|Warfarin 1mg tablets|Warfarin 500microgram tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
"Colecalciferol 1,000unit capsules",colecalciferol,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Loperamide 2mg tablets,loperamide,1,Loperamide 2mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Fenofibrate micronised 200mg capsules,fenofibrate,2,Fenofibrate micronised 267mg capsules|Fenofibrate micronised 160mg tablets,1,Fenofibrate micronised 267mg capsules,UNKNOWN,Unknown,-1,-1,-1,0,0
Timolol 0.25% eye drops,timolol,11,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free|Timolol 0.5% eye drops|Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops|Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops|Latanoprost 50micrograms/ml / Timolol 5mg/ml eye drops,2,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free|Timolol 0.5% eye drops,UNKNOWN,Unknown,-1,-1,-1,0,0
Phenoxymethylpenicillin 125mg/5ml oral solution,phenoxymethylpenicillin,4,Phenoxymethylpenicillin 250mg tablets|Phenoxymethylpenicillin 250mg/5ml oral solution|Phenoxymethylpenicillin 125mg/5ml oral solution sugar free|Phenoxymethylpenicillin 250mg/5ml oral solution sugar free,1,Phenoxymethylpenicillin 250mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Amantadine 100mg capsules,amantadine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Prednisolone 5mg soluble tablets,prednisolone,5,Prednisolone 5mg soluble tablets sugar free|Prednisolone 1mg tablets|Prednisolone 2.5mg gastro-resistant tablets|Prednisolone 5mg tablets|Prednisolone 5mg gastro-resistant tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Benzoyl peroxide 5% / Clindamycin 1% gel,benzoyl,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Flucloxacillin 125mg/5ml oral solution,flucloxacillin,6,Flucloxacillin 250mg/5ml oral solution sugar free|Flucloxacillin 250mg/5ml oral solution sugar free|Flucloxacillin 125mg/5ml oral solution sugar free|Flucloxacillin 250mg capsules|Flucloxacillin 250mg/5ml oral solution,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Lamotrigine 5mg dispersible tablets sugar free,lamotrigine,6,Lamotrigine 200mg tablets|Lamotrigine 25mg dispersible tablets sugar free|Lamotrigine 100mg dispersible tablets sugar free|Lamotrigine 25mg tablets|Lamotrigine 50mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Amorolfine 5% medicated nail lacquer,amorolfine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Bimatoprost 100micrograms/ml eye drops,bimatoprost,3,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free|Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops|Bimatoprost 300micrograms/ml eye drops 0.4ml unit dose preservative free,1,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free,UNKNOWN,Unknown,-1,-1,-1,0,0
Oxycodone 10mg/1ml solution for injection ampoules,oxycodone,1,Oxycodone 5mg/5ml oral solution sugar free,1,Oxycodone 5mg/5ml oral solution sugar free,UNKNOWN,Unknown,-1,-1,-1,0,0
Lorazepam 1mg tablets,lorazepam,2,Lorazepam 500microgram tablets|Lorazepam 2.5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Telmisartan 20mg tablets,telmisartan,2,Telmisartan 40mg tablets|Telmisartan 80mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Sodium valproate 200mg/5ml oral solution sugar free,sodium,21,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets|Levothyroxine sodium 12.5microgram tablets|Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules|Sodium valproate 200mg gastro-resistant tablets,2,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Modafinil 200mg tablets,modafinil,1,Modafinil 100mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Glimepiride 4mg tablets,glimepiride,3,Glimepiride 2mg tablets|Glimepiride 1mg tablets|Glimepiride 3mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Quetiapine 200mg tablets,quetiapine,4,Quetiapine 100mg tablets|Quetiapine 150mg tablets|Quetiapine 300mg tablets|Quetiapine 25mg tablets,0,,MEDIUM,India,5,75,1,0,0
Dipyridamole 100mg tablets,dipyridamole,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Mebeverine 200mg modified-release capsules,mebeverine,1,Mebeverine 135mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,sodium,21,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets|Levothyroxine sodium 12.5microgram tablets|Sodium valproate 200mg/5ml oral solution sugar free|Sodium valproate 200mg gastro-resistant tablets,2,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Clomipramine 50mg capsules,clomipramine,2,Clomipramine 25mg capsules|Clomipramine 10mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Carvedilol 6.25mg tablets,carvedilol,3,Carvedilol 12.5mg tablets|Carvedilol 25mg tablets|Carvedilol 3.125mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Chloramphenicol 1% eye ointment,chloramphenicol,1,Chloramphenicol 0.5% eye drops,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Mometasone 50micrograms/dose nasal spray,mometasone,4,Mometasone 0.1% cream|Mometasone 0.1% cream|Mometasone 0.1% ointment|Mometasone 0.1% ointment,2,Mometasone 0.1% cream|Mometasone 0.1% cream,UNKNOWN,Unknown,-1,-1,-1,0,0
Calcipotriol 0.005% / Betamethasone dipropionate 0.05% ointment,calcipotriol,1,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% gel,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Labetalol 200mg tablets,labetalol,1,Labetalol 100mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Tamsulosin 400microgram / Dutasteride 500microgram capsules,tamsulosin,1,Tamsulosin 400microgram modified-release capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Latanoprost 50micrograms/ml / Timolol 5mg/ml eye drops,latanoprost,1,Latanoprost 50micrograms/ml eye drops,1,Latanoprost 50micrograms/ml eye drops,UNKNOWN,Unknown,-1,-1,-1,0,0
Irbesartan 300mg tablets,irbesartan,3,Irbesartan 150mg tablets|Irbesartan 75mg tablets|Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets,1,Irbesartan 150mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Clomipramine 25mg capsules,clomipramine,2,Clomipramine 50mg capsules|Clomipramine 10mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Lercanidipine 20mg tablets,lercanidipine,1,Lercanidipine 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Glimepiride 2mg tablets,glimepiride,3,Glimepiride 4mg tablets|Glimepiride 1mg tablets|Glimepiride 3mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Azithromycin 250mg capsules,azithromycin,3,Azithromycin 250mg tablets|Azithromycin 500mg tablets|Azithromycin 250mg tablets,0,,HIGH,India,4,80,1,0,0
Clarithromycin 500mg tablets,clarithromycin,3,Clarithromycin 250mg/5ml oral suspension|Clarithromycin 125mg/5ml oral suspension|Clarithromycin 250mg tablets,2,Clarithromycin 250mg/5ml oral suspension|Clarithromycin 125mg/5ml oral suspension,UNKNOWN,Unknown,-1,-1,-1,0,0
Baclofen 5mg/5ml oral solution sugar free,baclofen,1,Baclofen 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Paracetamol 250mg/5ml oral suspension,paracetamol,21,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets,3,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Escitalopram 5mg tablets,citalopram,6,Citalopram 20mg tablets|Citalopram 10mg tablets|Citalopram 40mg tablets|Citalopram 40mg/ml oral drops sugar free|Escitalopram 10mg tablets,2,Citalopram 20mg tablets|Citalopram 10mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Cefradine 500mg capsules,cefradine,1,Cefradine 250mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Fluoxetine 20mg/5ml oral solution,fluoxetine,5,Fluoxetine 40mg capsules|Fluoxetine 60mg capsules|Fluoxetine 20mg capsules|Fluoxetine 10mg capsules|Fluoxetine 10mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Glimepiride 1mg tablets,glimepiride,3,Glimepiride 4mg tablets|Glimepiride 2mg tablets|Glimepiride 3mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Quinine sulfate 200mg tablets,quinine,2,Quinine sulfate 300mg tablets|Quinine bisulfate 300mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Valsartan 80mg capsules,valsartan,3,Valsartan 160mg capsules|Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets|Valsartan 40mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Co-amilozide 5mg/50mg tablets,co-amilozide,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Paracetamol 500mg soluble tablets,paracetamol,20,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets,3,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Paracetamol 500mg soluble tablets,paracetamol,20,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets,3,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Chlorpromazine 25mg tablets,chlorpromazine,2,Chlorpromazine 50mg tablets|Chlorpromazine 100mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Betahistine 8mg tablets,betahistine,1,Betahistine 16mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Tetracycline 250mg tablets,tetracycline,1,Oxytetracycline 250mg tablets,1,Oxytetracycline 250mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Cilostazol 100mg tablets,cilostazol,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Valsartan 160mg capsules,valsartan,3,Valsartan 80mg capsules|Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets|Valsartan 40mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Calcium and Ergocalciferol tablets,calcium,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Chlorpromazine 50mg tablets,chlorpromazine,2,Chlorpromazine 25mg tablets|Chlorpromazine 100mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Clomipramine 10mg capsules,clomipramine,2,Clomipramine 50mg capsules|Clomipramine 25mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Metoprolol 50mg tablets,metoprolol,1,Metoprolol 100mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Co-fluampicil 250mg/250mg capsules,co-fluampicil,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Fluticasone propionate 50micrograms/dose nasal spray,fluticasone,1,Fluticasone propionate 50micrograms/dose / Azelastine 137micrograms/dose nasal spray,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Montelukast 4mg granules sachets sugar free,montelukast,3,Montelukast 5mg chewable tablets sugar free|Montelukast 4mg chewable tablets sugar free|Montelukast 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Clarithromycin 250mg tablets,clarithromycin,3,Clarithromycin 250mg/5ml oral suspension|Clarithromycin 125mg/5ml oral suspension|Clarithromycin 500mg tablets,2,Clarithromycin 250mg/5ml oral suspension|Clarithromycin 125mg/5ml oral suspension,UNKNOWN,Unknown,-1,-1,-1,0,0
Clonidine 25microgram tablets,clonidine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Cefradine 250mg capsules,cefradine,1,Cefradine 500mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Ondansetron 4mg tablets,ondansetron,1,Ondansetron 8mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops 0.2ml unit dose preservative free,dorzolamide,2,Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops|Dorzolamide 20mg/ml eye drops,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Pramipexole 180microgram tablets,pramipexole,2,Pramipexole 88microgram tablets|Pramipexole 700microgram tablets,1,Pramipexole 88microgram tablets,HIGH,China,2,90,1,0,0
Ropinirole 2mg tablets,ropinirole,4,Ropinirole 1mg tablets|Ropinirole 250microgram tablets|Ropinirole 500microgram tablets|Ropinirole 500microgram tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Hydrocortisone 0.5% cream,hydrocortisone,6,Hydrocortisone 2.5% cream|Hydrocortisone 1% cream|Hydrocortisone 1% cream|Hydrocortisone 1% cream|Hydrocortisone 20mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Indometacin 50mg capsules,indometacin,1,Indometacin 25mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Celiprolol 200mg tablets,celiprolol,1,Celiprolol 400mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Celiprolol 400mg tablets,celiprolol,1,Celiprolol 200mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Clindamycin 150mg capsules,clindamycin,3,Benzoyl peroxide 5% / Clindamycin 1% gel|Benzoyl peroxide 5% / Clindamycin 1% gel|Benzoyl peroxide 5% / Clindamycin 1% gel,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Dosulepin 25mg capsules,dosulepin,1,Dosulepin 75mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Glyceryl trinitrate 500microgram sublingual tablets,glyceryl,4,Glyceryl trinitrate 400micrograms/dose pump sublingual spray|Glyceryl trinitrate 400micrograms/dose pump sublingual spray|Glyceryl trinitrate 400micrograms/dose pump sublingual spray|Glyceryl trinitrate 400micrograms/dose pump sublingual spray,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Chlorpromazine 100mg tablets,chlorpromazine,2,Chlorpromazine 25mg tablets|Chlorpromazine 50mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Pravastatin 10mg tablets,pravastatin,2,Pravastatin 20mg tablets|Pravastatin 40mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Nebivolol 2.5mg tablets,nebivolol,1,Nebivolol 5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Fosinopril 20mg tablets,fosinopril,1,Fosinopril 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Terbinafine 1% cream,terbinafine,1,Terbinafine 250mg tablets,1,Terbinafine 250mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Amisulpride 50mg tablets,amisulpride,2,Amisulpride 200mg tablets|Amisulpride 100mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Terbinafine 1% cream,terbinafine,1,Terbinafine 250mg tablets,1,Terbinafine 250mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Dorzolamide 20mg/ml eye drops,dorzolamide,3,Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops|Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops 0.2ml unit dose preservative free|Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops 0.2ml unit dose preservative free,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Amisulpride 200mg tablets,amisulpride,2,Amisulpride 50mg tablets|Amisulpride 100mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Amisulpride 100mg tablets,amisulpride,2,Amisulpride 50mg tablets|Amisulpride 200mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Memantine 20mg tablets,memantine,3,Memantine 10mg/ml oral solution sugar free|Memantine 10mg tablets|Memantine 10mg/ml oral solution sugar free,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Levetiracetam 500mg tablets,levetiracetam,4,Levetiracetam 1g tablets|Levetiracetam 750mg tablets|Levetiracetam 250mg tablets|Levetiracetam 100mg/ml oral solution sugar free,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Zolmitriptan 2.5mg tablets,zolmitriptan,1,Zolmitriptan 2.5mg orodispersible tablets sugar free,1,Zolmitriptan 2.5mg orodispersible tablets sugar free,UNKNOWN,Unknown,-1,-1,-1,0,0
Zolmitriptan 2.5mg tablets,zolmitriptan,1,Zolmitriptan 2.5mg orodispersible tablets sugar free,1,Zolmitriptan 2.5mg orodispersible tablets sugar free,UNKNOWN,Unknown,-1,-1,-1,0,0
Aspirin 75mg dispersible tablets,aspirin,4,Aspirin 300mg dispersible tablets|Aspirin 75mg gastro-resistant tablets|Aspirin 300mg dispersible tablets|Aspirin 75mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Ropinirole 250microgram tablets,ropinirole,4,Ropinirole 1mg tablets|Ropinirole 2mg tablets|Ropinirole 500microgram tablets|Ropinirole 500microgram tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Ropinirole 500microgram tablets,ropinirole,3,Ropinirole 1mg tablets|Ropinirole 2mg tablets|Ropinirole 250microgram tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Dihydrocodeine 30mg tablets,codeine phosphate,17,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 15mg/500mg tablets,2,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets,HIGH,India,4,70,1,0,0
Dihydrocodeine 30mg tablets,codeine phosphate,17,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 15mg/500mg tablets,2,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets,HIGH,India,4,70,1,0,0
