month,drug,concession_price
2025-03,Gabapentin 600mg tablets,39.54
2025-03,Hydroxocobalamin 1mg/1ml solution for injection ampoules,11.02
2025-03,Isosorbide mononitrate 10mg tablets,3.25
2025-03,Isosorbide mononitrate 20mg tablets,3.85
2025-03,Isosorbide mononitrate 40mg tablets,3.67
2025-03,Isotretinoin 20mg capsules,12.75
2025-03,Ivermectin 10mg/g cream,36.58
2025-03,Lactulose 3.1-3.7g/5ml oral solution,5.51
2025-03,Latanoprost 50micrograms/ml / Timolol 5mg/ml eye drops,3.04
2025-03,Latanoprost 50micrograms/ml eye drops,1.59
2025-03,Lercanidipine 10mg tablets,3.64
2025-03,Lercanidipine 20mg tablets,4.6
2025-03,Letrozole 2.5mg tablets,1.82
2025-03,Lofepramine 70mg tablets,24.33
2025-03,Lorazepam 1mg tablets,2.53
2025-03,Melatonin 2mg modified-release tablets,2.72
2025-03,Memantine 10mg tablets,2.25
2025-03,Memantine 10mg/ml oral solution sugar free,18.37
2025-03,Memantine 20mg tablets,3.69
2025-03,Metformin 1g / Sitagliptin 50mg tablets,7.55
2025-03,Methocarbamol 750mg tablets,7.64
2025-03,Methylphenidate 10mg tablets,5.49
2025-03,Metronidazole 400mg tablets,1.86
2025-03,Midazolam 10mg/2ml solution for injection ampoules,5.11
2025-03,Mometasone 0.1% cream,3.59
2025-03,Mometasone 0.1% ointment,3.51
2025-03,Morphine sulfate 10mg/1ml solution for injection ampoules,4.78
2025-03,Naftidrofuryl 100mg capsules,11.67
2025-03,Naproxen 250mg gastro-resistant tablets,8.05
2025-03,Naproxen 500mg gastro-resistant tablets,17.99
2025-03,Nefopam 30mg tablets,4.09
2025-03,Nitrazepam 5mg tablets,1.7
2025-03,Ondansetron 8mg tablets,3.93
2025-03,Oxybutynin 2.5mg tablets,1.11
2025-03,Oxybutynin 5mg tablets,2.9
2025-03,Oxycodone 5mg/5ml oral solution sugar free,9.71
2025-03,Paracetamol 250mg/5ml oral suspension sugar free,5.53
2025-03,Paracetamol 500mg effervescent tablets,5.37
2025-03,Pregabalin 100mg capsules,2.29
2025-03,Pregabalin 20mg/ml oral solution sugar free,51.36
2025-03,Prochlorperazine 3mg buccal tablets,20.33
2025-03,Prucalopride 1mg tablets,20.15
2025-03,Prucalopride 2mg tablets,9.87
2025-03,Ramipril 2.5mg tablets,1.19
2025-03,Riluzole 50mg tablets,311.11
2025-03,Rizatriptan 10mg orodispersible tablets sugar free,8.18
2025-03,Rizatriptan 10mg tablets,8.1
2025-03,Tacrolimus 0.1% ointment,25.92
2025-03,Tacrolimus 0.1% ointment,47.28
2025-03,Tadalafil 10mg tablets,0.98
2025-03,Tadalafil 2.5mg tablets,10.85
2025-03,Tadalafil 5mg tablets,4.6
2025-03,Telmisartan 40mg tablets,5.36
2025-03,Telmisartan 80mg tablets,7.04
2025-03,Timolol 0.5% eye drops,1.63
2025-03,Travoprost 40micrograms/ml / timolol 5mg/ml eye drops,11.79
2025-03,Trihexyphenidyl 2mg tablets,3.1
2025-03,Trimethoprim 200mg tablets,1.79
2025-03,Trimethoprim 200mg tablets,4.19
2025-03,Trimethoprim 50mg/5ml oral suspension sugar free,4.88
2025-03,Trospium chloride 20mg tablets,11.49
2025-03,Ursodeoxycholic acid 300mg tablets,54.22
2025-03,Vardenafil 20mg tablets,17.82
2025-03,Venlafaxine 225mg modified-release capsules,20.71
2025-03,Venlafaxine 300mg modified-release tablets,43.09
2025-03,Verapamil 80mg tablets,2.2
2025-02,Acamprosate 333mg gastro-resistant tablets,21.65
2025-02,Alendronic acid 70mg tablets,1.21
2025-02,Alfuzosin 2.5mg tablets,4.46
2025-02,Ascorbic acid 500mg tablets,31.47
2025-02,Aspirin 300mg tablets,2.67
2025-02,Aspirin 300mg tablets,8.35
2025-02,Benzydamine 0.15% mouthwash sugar free,4.67
2025-02,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops,8.83
2025-02,Buprenorphine 8mg sublingual tablets sugar free,4.98
2025-02,Calamine lotion,1.78
2025-02,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% gel,23.7
2025-02,Calcium and Ergocalciferol tablets,6.82
2025-02,Captopril 25mg tablets,22.45
2025-02,Carbimazole 20mg tablets,3.67
2025-02,Carbimazole 5mg tablets,5.39
2025-02,Carbocisteine 250mg/5ml oral solution,5.75
2025-02,Cefalexin 250mg tablets,2.59
2025-02,Cefalexin 500mg capsules,2.45
2025-02,Cefalexin 500mg tablets,2.85
2025-02,Clarithromycin 125mg/5ml oral suspension,5.79
2025-02,Clarithromycin 250mg/5ml oral suspension,10.41
2025-02,Clotrimazole 500mg pessary and Clotrimazole 2% cream,6.3
2025-02,Co-amoxiclav 125mg/31mg/5ml oral suspension,4.34
2025-02,Co-amoxiclav 250mg/62mg/5ml oral suspension,4.95
2025-02,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free,4.85
2025-02,Codeine 15mg/5ml linctus,16.5
2025-02,Codeine 15mg/5ml linctus sugar free,8.07
2025-02,Colestyramine 4g oral powder sachets,15.95
2025-02,Desloratadine 5mg tablets,2.75
2025-02,Desmopressin 120microgram sublingual tablets sugar free,18.91
2025-02,Desmopressin 240microgram sublingual tablets sugar free,36.32
2025-02,Desogestrel 75microgram tablets,2.43
2025-02,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules,9.25
2025-02,Diclofenac potassium 50mg tablets,7.41
2025-02,Estradiol 10microgram pessaries,10.68
2025-02,Fenofibrate micronised 160mg tablets,3.5
2025-02,Fenofibrate micronised 200mg capsules,3.61
2025-02,Flucloxacillin 250mg/5ml oral solution sugar free,5.2
2025-02,Flucloxacillin 500mg capsules,2.21
2025-02,Gabapentin 600mg tablets,46.6
2025-02,Hydroxocobalamin 1mg/1ml solution for injection ampoules,11.02
2025-02,Imiquimod 5% cream 250mg sachets,53.52
2025-02,Isosorbide mononitrate 10mg tablets,1.74
2025-02,Isosorbide mononitrate 20mg tablets,3.85
2025-02,Isosorbide mononitrate 40mg tablets,3.2
2025-02,Isotretinoin 20mg capsules,13.67
2025-02,Lactulose 3.1-3.7g/5ml oral solution,5.15
2025-02,Latanoprost 50micrograms/ml / Timolol 5mg/ml eye drops,3.09
2025-02,Latanoprost 50micrograms/ml eye drops,1.92
2025-02,Lercanidipine 10mg tablets,2.37
2025-02,Lercanidipine 20mg tablets,4.25
2025-02,Lidocaine 2% cream,3.81
2025-02,Lofepramine 70mg tablets,22.5
2025-02,Lorazepam 1mg tablets,2.37
2025-02,Melatonin 2mg modified-release tablets,3.13
2025-02,Memantine 10mg tablets,2.51
2025-02,Memantine 10mg/ml oral solution sugar free,19.01
2025-02,Memantine 20mg tablets,3.69
2025-02,Metformin 1g / Sitagliptin 50mg tablets,8.02
2025-02,Methocarbamol 750mg tablets,6.39
2025-02,Methylphenidate 10mg tablets,4.13
2025-02,Methylphenidate 54mg modified-release tablets,73.62
2025-02,Methylphenidate 5mg tablets,4.25
2025-02,Midazolam 10mg/2ml solution for injection ampoules,5.33
2025-02,Mometasone 0.1% cream,3.59
2025-02,Mometasone 0.1% ointment,3.13
2025-02,Morphine sulfate 10mg/1ml solution for injection ampoules,5.23
2025-02,Naftidrofuryl 100mg capsules,10.9
2025-02,Naproxen 250mg gastro-resistant tablets,8.54
2025-02,Naproxen 500mg gastro-resistant tablets,18.79
2025-02,Nefopam 30mg tablets,4.09
2025-02,Nitrazepam 5mg tablets,1.7
2025-02,Ondansetron 4mg tablets,4.95
2025-02,Ondansetron 8mg tablets,4.19
2025-02,Oxybutynin 5mg tablets,3.5
2025-02,Oxycodone 5mg/5ml oral solution sugar free,9.71
2025-02,Paracetamol 250mg/5ml oral suspension sugar free,5.53
2025-02,Paracetamol 500mg effervescent tablets,6.99
2025-02,Pregabalin 100mg capsules,2.29
2025-02,Pregabalin 20mg/ml oral solution sugar free,42.15
2025-02,Propantheline bromide 15mg tablets,103.33
2025-02,Prucalopride 1mg tablets,20.15
2025-02,Prucalopride 2mg tablets,10.94
2025-02,Purified water,3.55
2025-02,Quetiapine 200mg tablets,12.06
2025-02,Ramipril 2.5mg tablets,1.19
2025-02,Riluzole 50mg tablets,361.07
2025-02,Rizatriptan 10mg orodispersible tablets sugar free,8.18
2025-02,Rizatriptan 10mg tablets,8.79
2025-02,Salbutamol 100micrograms/dose inhaler CFC free,1.97
2025-02,Tacrolimus 0.1% ointment,25.92
2025-02,Tacrolimus 0.1% ointment,47.28
2025-02,Tadalafil 10mg tablets,0.97
2025-02,Tadalafil 2.5mg tablets,12.08
2025-02,Tadalafil 5mg tablets,5.75
2025-02,Telmisartan 40mg tablets,5.36
2025-02,Telmisartan 80mg tablets,8.3
2025-02,Travoprost 40micrograms/ml / timolol 5mg/ml eye drops,12.51
2025-02,Trihexyphenidyl 2mg tablets,2.97
2025-02,Trimethoprim 200mg tablets,0.69
2025-02,Trimethoprim 200mg tablets,1.61
2025-02,Trospium chloride 20mg tablets,10.4
2025-02,Vardenafil 20mg tablets,21.95
2025-02,Venlafaxine 225mg modified-release capsules,20.71
2025-02,Verapamil 80mg tablets,2.3
2025-02,Water for injections 10ml ampoules,2.95
2025-01,Acamprosate 333mg gastro-resistant tablets,21.9
2025-01,Alendronic acid 70mg tablets,1.21
2025-01,Alfacalcidol 250nanogram capsules,2.56
2025-01,Alfuzosin 2.5mg tablets,3.8
2025-01,Amantadine 100mg capsules,14.46
2025-01,Ascorbic acid 500mg tablets,37.49
2025-01,Benzydamine 0.15% mouthwash sugar free,4.65
2025-01,Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops,8.83
2025-01,Bromocriptine 2.5mg tablets,57.0
2025-01,Buprenorphine 2mg sublingual tablets sugar free,1.43
2025-01,Buprenorphine 8mg sublingual tablets sugar free,8.49
2025-01,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% gel,27.96
2025-01,Calcium and Ergocalciferol tablets,7.41
2025-01,Captopril 25mg tablets,21.19
2025-01,Captopril 50mg tablets,29.19
2025-01,Carbimazole 20mg tablets,3.67
2025-01,Carbimazole 5mg tablets,6.69
2025-01,Cefalexin 500mg capsules,3.18
2025-01,Cefalexin 500mg tablets,2.99
2025-01,Chloramphenicol 0.5% eye drops,4.6
2025-01,Chloramphenicol 1% eye ointment,3.49
2025-01,Clarithromycin 125mg/5ml oral suspension,4.72
2025-01,Clarithromycin 250mg/5ml oral suspension,8.44
2025-01,Clomethiazole 192mg capsules,34.66
2025-01,Clotrimazole 500mg pessary and Clotrimazole 2% cream,6.3
2025-01,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free,4.65
2025-01,Codeine 15mg/5ml linctus,16.5
2025-01,Cyanocobalamin 50microgram tablets,3.21
2025-01,Desmopressin 10micrograms/dose nasal spray,35.76
2025-01,Desmopressin 120microgram sublingual tablets sugar free,23.35
2025-01,Desmopressin 240microgram sublingual tablets sugar free,39.26
2025-01,Desogestrel 75microgram tablets,2.57
2025-01,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules,9.25
2025-01,Diclofenac diethylammonium 1.16% gel,5.55
2025-01,Diclofenac potassium 50mg tablets,7.41
2025-01,Estradiol 10microgram pessaries,10.68
2025-01,Fenofibrate micronised 160mg tablets,3.5
2025-01,Fenofibrate micronised 200mg capsules,3.61
2025-01,Flucloxacillin 250mg/5ml oral solution sugar free,5.2
2025-01,Flucloxacillin 500mg capsules,2.78
2025-01,Gabapentin 600mg tablets,46.62
2025-01,Haloperidol 1.5mg tablets,7.56
2025-01,Haloperidol 5mg tablets,7.75
2025-01,Hydroxocobalamin 1mg/1ml solution for injection ampoules,11.73
2025-01,Ibandronic acid 150mg tablets,1.52
2025-01,Isosorbide mononitrate 10mg tablets,1.74
2025-01,Isosorbide mononitrate 20mg tablets,3.84
2025-01,Isosorbide mononitrate 40mg tablets,2.53
2025-01,Isotretinoin 20mg capsules,12.34
2025-01,Lactulose 3.1-3.7g/5ml oral solution,4.95
2025-01,Latanoprost 50micrograms/ml / Timolol 5mg/ml eye drops,3.05
2025-01,Latanoprost 50micrograms/ml eye drops,1.53
2025-01,Lercanidipine 10mg tablets,2.38
2025-01,Levetiracetam 750mg tablets,4.12
2025-01,Lofepramine 70mg tablets,24.38
2025-01,Lorazepam 1mg tablets,3.2
2025-01,Melatonin 1mg/ml oral solution sugar free,25.56
2025-01,Melatonin 2mg modified-release tablets,2.86
2025-01,Memantine 10mg tablets,2.43
2025-01,Memantine 10mg/ml oral solution sugar free,21.5
2025-01,Memantine 20mg tablets,4.65
2025-01,Mercaptopurine 50mg tablets,9.72
2025-01,Metformin 1g / Sitagliptin 50mg tablets,8.02
2025-01,Metformin 500mg/5ml oral solution sugar free,15.71
2025-01,Methenamine hippurate 1g tablets,16.09
2025-01,Methylphenidate 10mg tablets,4.13
2025-01,Methylphenidate 54mg modified-release tablets,73.62
2025-01,Mometasone 0.1% cream,3.2
2025-01,Mometasone 0.1% ointment,3.1
2025-01,Morphine sulfate 10mg/1ml solution for injection ampoules,5.85
2025-01,Mycophenolate mofetil 500mg tablets,6.36
2025-01,Naftidrofuryl 100mg capsules,10.8
2025-01,Naproxen 250mg gastro-resistant tablets,9.02
2025-01,Naproxen 500mg gastro-resistant tablets,18.95
2025-01,Nefopam 30mg tablets,4.09
2025-01,Olanzapine 10mg orodispersible tablets sugar free,12.63
2025-01,Olanzapine 15mg tablets,3.25
2025-01,Olanzapine 20mg tablets,3.23
2025-01,Olanzapine 5mg orodispersible tablets sugar free,6.0
2025-01,Olanzapine 7.5mg tablets,1.32
2025-01,Ondansetron 4mg orodispersible tablets,19.95
2025-01,Ondansetron 4mg tablets,4.95
2025-01,Ondansetron 8mg tablets,4.29
2025-01,Orlistat 120mg capsules,23.88
2025-01,Oxybutynin 5mg tablets,1.5
2025-01,Oxycodone 5mg/5ml oral solution sugar free,8.66
2025-01,Perindopril erbumine 2mg tablets,1.25
2025-01,Perindopril erbumine 4mg tablets,1.45
2025-01,Perindopril erbumine 8mg tablets,2.07
2025-01,Pregabalin 100mg capsules,2.29
2025-01,Pregabalin 150mg capsules,2.33
2025-01,Pregabalin 200mg capsules,4.25
2025-01,Pregabalin 20mg/ml oral solution sugar free,58.8
2025-01,Pregabalin 300mg capsules,2.76
2025-01,Pregabalin 50mg capsules,7.63
2025-01,Pregabalin 75mg capsules,1.54
2025-01,Propantheline bromide 15mg tablets,103.52
2025-01,Prucalopride 2mg tablets,10.0
2025-01,Quetiapine 100mg tablets,10.17
2025-01,Quetiapine 200mg tablets,12.06
2025-01,Ramipril 2.5mg tablets,1.22
2025-01,Riluzole 50mg tablets,361.07
2025-01,Rivastigmine 3mg capsules,2.43
2025-01,Rizatriptan 10mg tablets,9.16
2025-01,Ropinirole 2mg tablets,25.99
2025-01,Salbutamol 100micrograms/dose inhaler CFC free,1.97
2025-01,Sitagliptin 100mg/5ml oral solution sugar free,31.01
2025-01,Tacrolimus 0.1% ointment,25.92
2025-01,Tacrolimus 0.1% ointment,47.28
2025-01,Tadalafil 10mg tablets,0.99
2025-01,Tadalafil 2.5mg tablets,12.08
2025-01,Tadalafil 20mg tablets,1.04
2025-01,Tadalafil 5mg tablets,6.07
2025-01,Telmisartan 40mg tablets,5.36
2025-01,Telmisartan 80mg tablets,9.93
2025-01,Travoprost 40micrograms/ml / timolol 5mg/ml eye drops,13.95
2025-01,Trihexyphenidyl 2mg tablets,3.14
2025-01,Trospium chloride 20mg tablets,11.49
2025-01,Ursodeoxycholic acid 300mg tablets,54.22
2025-01,Vardenafil 20mg tablets,20.03
2025-01,Venlafaxine 225mg modified-release capsules,18.4
2024-12,Alendronic acid 70mg/100ml oral solution unit dose sugar free,28.78
2024-12,Alfuzosin 2.5mg tablets,3.8
2024-12,Alverine 60mg capsules,4.28
2024-12,Amantadine 100mg capsules,12.75
2024-12,Amitriptyline 50mg/5ml oral solution sugar free,21.8
2024-12,Apixaban 2.5mg tablets,3.02
2024-12,Apixaban 5mg tablets,2.9
2024-12,Aqueous cream,5.17
2024-12,Aqueous cream,1.03
2024-12,Ascorbic acid 100mg tablets,35.26
2024-12,Ascorbic acid 200mg tablets,56.45
2024-12,Ascorbic acid 500mg tablets,37.97
2024-12,Aspirin 300mg tablets,9.81
2024-12,Aspirin 300mg tablets,3.14
2024-12,Benzoyl peroxide 5% / Clindamycin 1% gel,11.9
2024-12,Benzoyl peroxide 5% / Clindamycin 1% gel,22.0
2024-12,Bromocriptine 2.5mg tablets,66.37
2024-12,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% gel,27.96
2024-12,Candesartan 4mg tablets,0.59
2024-12,Carbimazole 20mg tablets,4.1
2024-12,Carbimazole 5mg tablets,7.27
2024-12,Cefalexin 500mg capsules,3.71
2024-12,Cefalexin 500mg tablets,3.15
2024-12,Chloramphenicol 0.5% eye drops,4.99
2024-12,Chloramphenicol 1% eye ointment,3.85
2024-12,Clarithromycin 125mg/5ml oral suspension,4.72
2024-12,Clarithromycin 250mg/5ml oral suspension,8.47
2024-12,Clomipramine 50mg capsules,8.11
2024-12,Clotrimazole 500mg pessary and Clotrimazole 2% cream,6.3
2024-12,Co-amoxiclav 125mg/31mg/5ml oral suspension,4.72
2024-12,Co-amoxiclav 250mg/62mg/5ml oral suspension,6.19
2024-12,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free,3.81
2024-12,Codeine 15mg/5ml linctus,16.5
2024-12,Co-tenidone 50mg/12.5mg tablets,5.4
2024-12,Desloratadine 5mg tablets,4.56
2024-12,Desmopressin 120microgram sublingual tablets sugar free,23.35
2024-12,Desmopressin 240microgram sublingual tablets sugar free,42.22
2024-12,Desogestrel 75microgram tablets,2.57
2024-12,Diclofenac diethylammonium 1.16% gel,7.64
2024-12,Domperidone 10mg tablets,2.63
2024-12,Domperidone 10mg tablets,0.79
2024-12,Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops,5.5
2024-12,Erythromycin 250mg gastro-resistant tablets,6.35
2024-12,Escitalopram 10mg tablets,1.65
2024-12,Escitalopram 5mg tablets,1.99
2024-12,Estradiol 10microgram pessaries,10.68
2024-12,Fenofibrate micronised 200mg capsules,3.61
2024-12,Flucloxacillin 250mg/5ml oral solution sugar free,5.63
2024-12,Flucloxacillin 500mg capsules,3.04
2024-12,Fusidic acid 1% modified-release eye drops,15.28
2024-12,Gabapentin 600mg tablets,24.9
2024-12,Glimepiride 1mg tablets,1.07
2024-12,Glimepiride 4mg tablets,1.19
2024-12,Haloperidol 1.5mg tablets,9.29
2024-12,Haloperidol 5mg tablets,9.88
2024-12,Hydrocortisone 10mg tablets,1.96
2024-12,Hydroxocobalamin 1mg/1ml solution for injection ampoules,12.65
2024-12,Irbesartan 300mg tablets,1.99
2024-12,Isosorbide mononitrate 10mg tablets,1.35
2024-12,Isosorbide mononitrate 20mg tablets,4.0
2024-12,Isosorbide mononitrate 40mg tablets,2.44
2024-12,Isotretinoin 20mg capsules,12.49
2024-12,Itraconazole 100mg capsules,6.95
2024-12,Ketoconazole 2% shampoo,22.4
2024-12,Lactulose 3.1-3.7g/5ml oral solution,4.63
2024-12,Latanoprost 50micrograms/ml / Timolol 5mg/ml eye drops,4.27
2024-12,Levetiracetam 250mg tablets,1.88
2024-12,Levetiracetam 500mg tablets,4.95
2024-12,Levetiracetam 750mg tablets,4.12
2024-12,Lofepramine 70mg tablets,24.5
2024-12,Lorazepam 1mg tablets,4.76
2024-12,Mebeverine 135mg tablets,3.55
2024-12,Melatonin 1mg/ml oral solution sugar free,50.5
2024-12,Memantine 10mg tablets,2.41
2024-12,Memantine 20mg tablets,3.53
2024-12,Mercaptopurine 50mg tablets,22.41
2024-12,Metformin 1g modified-release tablets,3.65
2024-12,Metformin 500mg modified-release tablets,2.5
2024-12,Methenamine hippurate 1g tablets,19.74
2024-12,Methotrexate 10mg tablets,37.8
2024-12,Methylphenidate 10mg tablets,4.39
2024-12,Methylphenidate 54mg modified-release tablets,73.62
2024-12,Midazolam 10mg/2ml solution for injection ampoules,5.58
2024-12,Mometasone 0.1% cream,3.25
2024-12,Mometasone 0.1% ointment,2.96
2024-12,Morphine sulfate 10mg/1ml solution for injection ampoules,5.97
2024-12,Naftidrofuryl 100mg capsules,10.0
2024-12,Naproxen 250mg gastro-resistant tablets,9.02
2024-12,Naproxen 500mg gastro-resistant tablets,19.6
2024-12,Nefopam 30mg tablets,3.86
2024-12,Nicorandil 10mg tablets,5.67
2024-12,Nicorandil 20mg tablets,12.05
2024-12,Nortriptyline 10mg tablets,3.9
2024-12,Olanzapine 10mg orodispersible tablets sugar free,10.2
2024-12,Olanzapine 10mg tablets,3.06
2024-12,Olanzapine 15mg tablets,2.57
2024-12,Olanzapine 2.5mg tablets,1.35
2024-12,Olanzapine 20mg tablets,3.25
2024-12,Olanzapine 5mg tablets,1.93
2024-12,Olanzapine 7.5mg tablets,1.43
2024-12,Ondansetron 4mg tablets,5.24
2024-12,Ondansetron 8mg tablets,4.78
2024-12,Oxcarbazepine 600mg tablets,30.38
2024-12,Oxybutynin 5mg tablets,1.82
2024-12,Oxycodone 5mg/5ml oral solution sugar free,8.66
2024-12,Oxytetracycline 250mg tablets,11.39
2024-12,Perindopril erbumine 2mg tablets,1.25
2024-12,Perindopril erbumine 4mg tablets,1.49
2024-12,Perindopril erbumine 8mg tablets,2.19
2024-12,Pregabalin 150mg capsules,2.33
2024-12,Pregabalin 200mg capsules,4.25
2024-12,Pregabalin 300mg capsules,2.76
2024-12,Pregabalin 50mg capsules,7.63
2024-12,Pregabalin 75mg capsules,2.41
2024-12,Propantheline bromide 15mg tablets,103.66
2024-12,Quetiapine 100mg tablets,10.17
2024-12,Quetiapine 150mg tablets,9.54
2024-12,Quetiapine 200mg tablets,13.45
2024-12,Quetiapine 25mg tablets,2.85
2024-12,Quetiapine 300mg tablets,8.99
2024-12,Ramipril 2.5mg tablets,4.86
2024-12,Rizatriptan 10mg tablets,8.99
2024-12,Ropinirole 2mg tablets,21.48
2024-12,Ropinirole 500microgram tablets,11.15
2024-12,Sitagliptin 100mg/5ml oral solution sugar free,31.01
2024-12,Sodium cromoglicate 2% eye drops,2.8
2024-12,Tacrolimus 0.1% ointment,25.92
2024-12,Tacrolimus 0.1% ointment,47.28
2024-12,Tadalafil 10mg tablets,1.15
2024-12,Tadalafil 5mg tablets,8.25
2024-12,Telmisartan 20mg tablets,2.24
2024-12,Telmisartan 40mg tablets,4.75
2024-12,Telmisartan 80mg tablets,11.02
2024-12,Temazepam 10mg tablets,24.67
2024-12,Terbinafine 250mg tablets,3.5
2024-12,Travoprost 40micrograms/ml / timolol 5mg/ml eye drops,13.95
2024-12,Vardenafil 20mg tablets,3.65
2024-12,Venlafaxine 225mg modified-release capsules,20.71
2024-11,Alverine 60mg capsules,4.18
2024-11,Amantadine 100mg capsules,17.66
2024-11,Amitriptyline 25mg/5ml oral solution sugar free,16.35
2024-11,Apixaban 2.5mg tablets,4.2
2024-11,Apixaban 5mg tablets,3.27
2024-11,Aqueous cream,1.1
2024-11,Aqueous cream,5.5
2024-11,Ascorbic acid 100mg tablets,35.26
2024-11,Ascorbic acid 200mg tablets,55.9
2024-11,Ascorbic acid 500mg tablets,32.75
2024-11,Benzoyl peroxide 5% / Clindamycin 1% gel,22.06
2024-11,Brimonidine 0.2% eye drops,2.65
2024-11,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% gel,22.22
2024-11,Carbimazole 20mg tablets,3.66
2024-11,Carbimazole 5mg tablets,4.13
2024-11,Cefalexin 500mg capsules,2.67
2024-11,Chloramphenicol 0.5% eye drops,4.99
2024-11,Chloramphenicol 1% eye ointment,3.68
2024-11,Clarithromycin 125mg/5ml oral suspension,4.72
2024-11,Clarithromycin 250mg/5ml oral suspension,8.64
2024-11,Clomipramine 50mg capsules,8.06
2024-11,Clotrimazole 500mg pessary and Clotrimazole 2% cream,6.3
2024-11,Co-amoxiclav 125mg/31mg/5ml oral suspension,4.52
2024-11,Co-amoxiclav 250mg/62mg/5ml oral suspension,5.29
2024-11,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free,3.6
2024-11,Codeine 15mg/5ml linctus,5.31
2024-11,Co-tenidone 50mg/12.5mg tablets,6.2
2024-11,Desloratadine 5mg tablets,4.56
2024-11,Desmopressin 120microgram sublingual tablets sugar free,21.95
2024-11,Desmopressin 240microgram sublingual tablets sugar free,42.22
2024-11,Domperidone 10mg tablets,2.76
2024-11,Domperidone 10mg tablets,0.83
2024-11,Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops,6.05
2024-11,Erythromycin 250mg gastro-resistant tablets,6.81
2024-11,Escitalopram 10mg tablets,1.65
2024-11,Escitalopram 5mg tablets,2.39
2024-11,Estradiol 10microgram pessaries,10.7
2024-11,Fenofibrate micronised 200mg capsules,3.83
2024-11,Flucloxacillin 250mg/5ml oral solution sugar free,5.63
2024-11,Glimepiride 4mg tablets,1.19
2024-11,Haloperidol 1.5mg tablets,10.57
2024-11,Haloperidol 5mg tablets,10.39
2024-11,Hydrocortisone 10mg tablets,2.02
2024-11,Hydroxocobalamin 1mg/1ml solution for injection ampoules,12.65
2024-11,Irbesartan 300mg tablets,1.99
2024-11,Isosorbide mononitrate 20mg tablets,1.33
2024-11,Isosorbide mononitrate 40mg tablets,2.54
2024-11,Isotretinoin 20mg capsules,12.99
2024-11,Itraconazole 100mg capsules,6.95
2024-11,Ketoconazole 2% shampoo,24.0
2024-11,Lactulose 3.1-3.7g/5ml oral solution,4.63
2024-11,Latanoprost 50micrograms/ml / Timolol 5mg/ml eye drops,3.8
2024-11,Levetiracetam 250mg tablets,1.88
2024-11,Levetiracetam 500mg tablets,4.95
2024-11,Levetiracetam 750mg tablets,4.47
2024-11,Lofepramine 70mg tablets,24.5
2024-11,Lorazepam 1mg tablets,6.82
2024-11,Mebeverine 135mg tablets,3.49
2024-11,Melatonin 1mg/ml oral solution sugar free,50.5
2024-11,Memantine 10mg tablets,4.14
2024-11,Memantine 10mg/ml oral solution sugar free,27.97
2024-11,Memantine 20mg tablets,7.99
2024-11,Mercaptopurine 50mg tablets,22.41
2024-11,Metformin 1g modified-release tablets,4.11
2024-11,Metformin 500mg modified-release tablets,2.49
2024-11,Methylphenidate 54mg modified-release tablets,73.62
2024-11,Midazolam 10mg/2ml solution for injection ampoules,5.58
2024-11,Mometasone 0.1% cream,3.39
2024-11,Mometasone 0.1% ointment,3.22
2024-11,Morphine sulfate 10mg/1ml solution for injection ampoules,5.4
2024-11,Naftidrofuryl 100mg capsules,10.05
2024-11,Naproxen 250mg gastro-resistant tablets,6.75
2024-11,Naproxen 500mg gastro-resistant tablets,19.88
2024-11,Nefopam 30mg tablets,3.86
2024-11,Nicorandil 10mg tablets,7.58
2024-11,Nicorandil 20mg tablets,13.82
2024-11,Nortriptyline 10mg tablets,4.1
2024-11,Olanzapine 10mg tablets,3.36
2024-11,Olanzapine 15mg tablets,3.38
2024-11,Olanzapine 2.5mg tablets,1.35
2024-11,Olanzapine 20mg tablets,3.37
2024-11,Olanzapine 5mg tablets,2.29
2024-11,Olanzapine 7.5mg tablets,1.29
2024-11,Ondansetron 8mg tablets,3.0
2024-11,Oxycodone 5mg/5ml oral solution sugar free,8.66
2024-11,Oxytetracycline 250mg tablets,13.1
2024-11,Perindopril erbumine 2mg tablets,1.37
2024-11,Perindopril erbumine 4mg tablets,1.68
2024-11,Perindopril erbumine 8mg tablets,3.32
2024-11,Pregabalin 150mg capsules,2.88
2024-11,Pregabalin 200mg capsules,4.25
2024-11,Pregabalin 300mg capsules,3.1
2024-11,Pregabalin 50mg capsules,9.24
2024-11,Pregabalin 75mg capsules,2.65
2024-11,Propantheline bromide 15mg tablets,103.38
2024-11,Quetiapine 100mg tablets,11.1
2024-11,Quetiapine 150mg tablets,11.35
